Type,St,Rest_Area,Rte,MP,Mun,Co,Lat,Long,Total_Spac,Truck_Spac,Hours,Limit,Comment,Rest_Stop
Private,AK,,,0.0,,,64.040833,-145.733749,0.0,0.0,,,,
Private,AK,,,0.0,,,62.107727,-145.534927,0.0,0.0,,,,
Private,AK,,,0.0,,,59.235394,-135.466995,0.0,0.0,,,,
Private,AK,,,0.0,,,60.039539,-151.675461,0.0,0.0,,,,
Private,AK,,,0.0,,,61.220998,-149.731982,0.0,0.0,,,,
Private,AK,,,0.0,,,60.488356,-151.053526,0.0,0.0,,,,
Private,AL,,,0.0,,,34.115051,-86.864426,0.0,0.0,,,,
Private,AL,,,0.0,,,34.529678,-86.900749,0.0,0.0,,,,
Private,AL,,,0.0,,,31.837007,-85.165042,0.0,0.0,,,,
Private,AL,,,0.0,,,34.758202,-87.60611,0.0,0.0,,,,
Private,AL,,,0.0,,,33.153221,-85.360924,0.0,0.0,,,,
Private,AL,,,0.0,,,32.819817,-85.211098,0.0,0.0,,,,
Private,AL,,,0.0,,,34.20787,-86.876694,0.0,0.0,,,,
Private,AL,,,0.0,,,31.272173,-85.880508,0.0,0.0,,,,
Private,AL,,,0.0,,,31.020124,-87.252533,0.0,0.0,,,,
Private,AL,,,0.0,,,34.487221,-87.276848,0.0,0.0,,,,
Private,AL,,,0.0,,,33.110718,-86.234612,0.0,0.0,,,,
Private,AL,,,0.0,,,30.575639,-88.171804,0.0,0.0,,,,
Private,AL,,,0.0,,,31.929461,-87.739258,0.0,0.0,,,,
Private,AL,,,0.0,,,33.179119,-86.29763,0.0,0.0,,,,
Private,AL,,,0.0,,,34.119518,-86.396286,0.0,0.0,,,,
Private,AL,,,0.0,,,33.146396,-87.545166,0.0,0.0,,,,
Private,AL,,,0.0,,,32.844337,-86.597511,0.0,0.0,,,,
Private,AL,,,0.0,,,34.717319,-87.695854,0.0,0.0,,,,
Private,AL,,,0.0,,,34.141376,-87.987434,0.0,0.0,,,,
Private,AL,,,0.0,,,32.370345,-86.373786,0.0,0.0,,,,
Private,AL,,,0.0,,,32.599926,-85.337479,0.0,0.0,,,,
Private,AL,,,0.0,,,30.760967,-88.074053,0.0,0.0,,,,
Private,AL,,,0.0,,,31.023191,-87.503799,0.0,0.0,,,,
Private,AL,,,0.0,,,33.70295,-87.826965,0.0,0.0,,,,
Private,AL,,,0.0,,,33.669037,-87.835808,0.0,0.0,,,,
Private,AL,,,0.0,,,31.36038,-85.327866,0.0,0.0,,,,
Private,AL,,,0.0,,,33.61956,-85.596382,0.0,0.0,,,,
Private,AL,,,0.0,,,31.507601,-86.923653,0.0,0.0,,,,
Private,AL,,,0.0,,,34.268517,-86.069733,0.0,0.0,,,,
Private,AL,,,0.0,,,34.597157,-87.047836,0.0,0.0,,,,
Private,AL,,,0.0,,,33.227529,-87.575862,0.0,0.0,,,,
Private,AL,,,0.0,,,34.189233,-86.189387,0.0,0.0,,,,
Private,AL,,,0.0,,,34.118439,-86.395332,0.0,0.0,,,,
Private,AL,,,0.0,,,31.180364,-85.248215,0.0,0.0,,,,
Private,AL,,,0.0,,,31.0298,-87.496788,0.0,0.0,,,,
Private,AL,,,0.0,,,31.136047,-87.069206,0.0,0.0,,,,
Private,AL,,,0.0,,,31.299088,-85.778458,0.0,0.0,,,,
Private,AL,,,0.0,,,32.502777,-87.821823,0.0,0.0,,,,
Private,AL,,,0.0,,,31.334839,-85.859298,0.0,0.0,,,,
Private,AL,,,0.0,,,31.123213,-88.00946,0.0,0.0,,,,
Private,AL,,,0.0,,,32.05209,-86.044128,0.0,0.0,,,,
Private,AL,,,0.0,,,31.448303,-85.659447,0.0,0.0,,,,
Private,AL,,,0.0,,,31.275618,-86.248077,0.0,0.0,,,,
Private,AL,,,0.0,,,31.72051,-85.829559,0.0,0.0,,,,
Private,AL,,,0.0,,,34.217987,-86.156815,0.0,0.0,,,,
Private,AL,,,0.0,,,33.282547,-86.361893,0.0,0.0,,,,
Private,AL,,,0.0,,,31.256586,-85.388556,0.0,0.0,,,,
Private,AL,,,0.0,,,31.02009,-87.658348,0.0,0.0,,,,
Private,AL,,,0.0,,,31.498255,-87.892807,0.0,0.0,,,,
Private,AL,,,0.0,,,34.513496,-87.291359,0.0,0.0,,,,
Private,AL,,,0.0,,,33.196995,-87.595055,0.0,0.0,,,,
Private,AL,,,0.0,,,34.480106,-87.273285,0.0,0.0,,,,
Private,AL,,,0.0,,,31.556204,-85.172028,0.0,0.0,,,,
Private,AL,,,0.0,,,30.818691,-88.259033,0.0,0.0,,,,
Private,AL,,,0.0,,,31.003291,-86.326483,0.0,0.0,,,,
Private,AL,,,0.0,,,32.496719,-85.041862,0.0,0.0,,,,
Private,AL,,,0.0,,,33.33559,-86.995262,0.0,0.0,,,,
Private,AL,,,0.0,,,32.491894,-86.406326,0.0,0.0,,,,
Private,AL,,,0.0,,,32.296585,-86.195129,0.0,0.0,,,,
Private,AR,,,0.0,,,33.693401,-93.599564,0.0,0.0,,,,
Private,AR,,,0.0,,,34.389488,-92.830139,0.0,0.0,,,,
Private,AR,,,0.0,,,33.81292,-92.449799,0.0,0.0,,,,
Private,AR,,,0.0,,,33.535263,-92.825935,0.0,0.0,,,,
Private,AR,,,0.0,,,34.173904,-94.315071,0.0,0.0,,,,
Private,AR,,,0.0,,,33.10976,-92.356445,0.0,0.0,,,,
Private,AR,,,0.0,,,33.111816,-91.257034,0.0,0.0,,,,
Private,AR,,,0.0,,,35.228321,-93.140205,0.0,0.0,,,,
Private,AR,,,0.0,,,35.596214,-92.458565,0.0,0.0,,,,
Private,AR,,,0.0,,,35.251236,-93.136879,0.0,0.0,,,,
Private,AR,,,0.0,,,36.356839,-94.183949,0.0,0.0,,,,
Private,AR,,,0.0,,,36.104698,-91.099266,0.0,0.0,,,,
Private,AR,,,0.0,,,33.54887,-91.384148,0.0,0.0,,,,
Private,AR,,,0.0,,,35.284191,-93.092674,0.0,0.0,,,,
Private,AR,,,0.0,,,35.928753,-89.879013,0.0,0.0,,,,
Private,AR,,,0.0,,,34.911739,-91.195808,0.0,0.0,,,,
Private,AR,,,0.0,,,35.234592,-91.699074,0.0,0.0,,,,
Private,AR,,,0.0,,,34.478994,-93.112733,0.0,0.0,,,,
Private,AR,,,0.0,,,36.167615,-94.118974,0.0,0.0,,,,
Private,AR,,,0.0,,,36.302418,-91.445381,0.0,0.0,,,,
Private,AR,,,0.0,,,34.432987,-94.411964,0.0,0.0,,,,
Private,AZ,,,0.0,,,35.191299,-114.069305,0.0,0.0,,,,
Private,AZ,,,0.0,,,33.436619,-112.168579,0.0,0.0,,,,
Private,AZ,,,0.0,,,32.222031,-109.873299,0.0,0.0,,,,
Private,AZ,,,0.0,,,32.66703,-114.444,0.0,0.0,,,,
Private,AZ,,,0.0,,,33.667202,-114.217201,0.0,0.0,,,,
Private,AZ,,,0.0,,,34.902691,-110.174538,0.0,0.0,,,,
Private,AZ,,,0.0,,,34.574764,-111.882698,0.0,0.0,,,,
Private,AZ,,,0.0,,,36.904068,-111.484528,0.0,0.0,,,,
Private,AZ,,,0.0,,,33.460861,-112.166901,0.0,0.0,,,,
Private,AZ,,,0.0,,,33.460018,-112.16967,0.0,0.0,,,,
Private,AZ,,,0.0,,,33.428364,-112.081818,0.0,0.0,,,,
Private,AZ,,,0.0,,,31.338701,-110.966223,0.0,0.0,,,,
Private,CA,,,0.0,,,34.041306,-118.237961,0.0,0.0,,,,
Private,CA,,,0.0,,,34.00856,-118.212402,0.0,0.0,,,,
Private,CA,,,0.0,,,33.979366,-118.11969,0.0,0.0,,,,
Private,CA,,,0.0,,,32.659679,-117.115303,0.0,0.0,,,,
Private,CA,,,0.0,,,35.266651,-119.027603,0.0,0.0,,,,
Private,CA,,,0.0,,,36.707829,-119.771996,0.0,0.0,,,,
Private,CA,,,0.0,,,40.769611,-124.191597,0.0,0.0,,,,
Private,CA,,,0.0,,,33.790145,-118.214167,0.0,0.0,,,,
Private,CA,,,0.0,,,37.773774,-122.235819,0.0,0.0,,,,
Private,CA,,,0.0,,,37.922123,-122.3368,0.0,0.0,,,,
Private,CA,,,0.0,,,34.228241,-118.387299,0.0,0.0,,,,
Private,CA,,,0.0,,,35.388756,-119.043297,0.0,0.0,,,,
Private,CA,,,0.0,,,37.61808,-122.063896,0.0,0.0,,,,
Private,CA,,,0.0,,,33.975582,-118.163406,0.0,0.0,,,,
Private,CA,,,0.0,,,33.700462,-116.193703,0.0,0.0,,,,
Private,CA,,,0.0,,,34.49284,-118.199493,0.0,0.0,,,,
Private,CA,,,0.0,,,37.02087,-121.569099,0.0,0.0,,,,
Private,CA,,,0.0,,,37.361722,-118.401066,0.0,0.0,,,,
Private,CA,,,0.0,,,33.121731,-117.324966,0.0,0.0,,,,
Private,CA,,,0.0,,,36.706219,-119.774399,0.0,0.0,,,,
Private,CA,,,0.0,,,36.67762,-119.745796,0.0,0.0,,,,
Private,CA,,,0.0,,,33.865887,-118.275597,0.0,0.0,,,,
Private,CA,,,0.0,,,34.851009,-114.623703,0.0,0.0,,,,
Private,CA,,,0.0,,,39.740219,-122.2033,0.0,0.0,,,,
Private,CA,,,0.0,,,35.645404,-120.657428,0.0,0.0,,,,
Private,CA,,,0.0,,,32.87701,-117.185501,0.0,0.0,,,,
Private,CA,,,0.0,,,37.314213,-121.860695,0.0,0.0,,,,
Private,CA,,,0.0,,,34.818687,-118.884605,0.0,0.0,,,,
Private,CA,,,0.0,,,34.005428,-118.176094,0.0,0.0,,,,
Private,CA,,,0.0,,,35.464649,-120.649803,0.0,0.0,,,,
Private,CA,,,0.0,,,38.38718,-122.715096,0.0,0.0,,,,
Private,CA,,,0.0,,,39.000611,-122.892636,0.0,0.0,,,,
Private,CA,,,0.0,,,32.85009,-116.951668,0.0,0.0,,,,
Private,CA,,,0.0,,,39.480316,-121.575104,0.0,0.0,,,,
Private,CA,,,0.0,,,37.357563,-118.395103,0.0,0.0,,,,
Private,CA,,,0.0,,,33.784611,-118.208405,0.0,0.0,,,,
Private,CA,,,0.0,,,38.676548,-121.747093,0.0,0.0,,,,
Private,CA,,,0.0,,,33.773571,-118.253906,0.0,0.0,,,,
Private,CA,,,0.0,,,33.957638,-118.184502,0.0,0.0,,,,
Private,CA,,,0.0,,,33.789711,-118.220299,0.0,0.0,,,,
Private,CA,,,0.0,,,37.820778,-121.291496,0.0,0.0,,,,
Private,CA,,,0.0,,,38.46384,-121.822205,0.0,0.0,,,,
Private,CA,,,0.0,,,34.069874,-117.452904,0.0,0.0,,,,
Private,CA,,,0.0,,,34.016441,-118.208405,0.0,0.0,,,,
Private,CA,,,0.0,,,37.38372,-121.949203,0.0,0.0,,,,
Private,CA,,,0.0,,,33.836811,-117.123306,0.0,0.0,,,,
Private,CA,,,0.0,,,34.07,-117.489799,0.0,0.0,,,,
Private,CA,,,0.0,,,40.774788,-124.1903,0.0,0.0,,,,
Private,CA,,,0.0,,,39.017925,-122.912506,0.0,0.0,,,,
Private,CA,,,0.0,,,38.011707,-122.105392,0.0,0.0,,,,
Private,CA,,,0.0,,,34.009914,-118.19149,0.0,0.0,,,,
Private,CA,,,0.0,,,40.705364,-122.334793,0.0,0.0,,,,
Private,CA,,,0.0,,,38.835522,-121.169006,0.0,0.0,,,,
Private,CA,,,0.0,,,37.802193,-122.287964,0.0,0.0,,,,
Private,CA,,,0.0,,,33.839722,-117.25293,0.0,0.0,,,,
Private,CA,,,0.0,,,33.845585,-117.242836,0.0,0.0,,,,
Private,CA,,,0.0,,,38.580105,-121.54821,0.0,0.0,,,,
Private,CA,,,0.0,,,36.547424,-119.598831,0.0,0.0,,,,
Private,CA,,,0.0,,,37.388805,-120.736664,0.0,0.0,,,,
Private,CA,,,0.0,,,34.829208,-116.692703,0.0,0.0,,,,
Private,CA,,,0.0,,,37.855187,-121.279315,0.0,0.0,,,,
Private,CA,,,0.0,,,38.395852,-121.951971,0.0,0.0,,,,
Private,CA,,,0.0,,,34.021529,-118.239718,0.0,0.0,,,,
Private,CO,,,0.0,,,40.246342,-109.01075,0.0,0.0,,,,
Private,CO,,,0.0,,,39.070182,-108.57133,0.0,0.0,,,,
Private,CO,,,0.0,,,39.819432,-104.933344,0.0,0.0,,,,
Private,CO,,,0.0,,,40.58046,-105.007408,0.0,0.0,,,,
Private,CO,,,0.0,,,39.270992,-103.707802,0.0,0.0,,,,
Private,CO,,,0.0,,,40.6227,-103.167,0.0,0.0,,,,
Private,CO,,,0.0,,,39.793205,-104.942288,0.0,0.0,,,,
Private,CO,,,0.0,,,39.802563,-104.985901,0.0,0.0,,,,
Private,CO,,,0.0,,,38.308731,-104.616402,0.0,0.0,,,,
Private,CO,,,0.0,,,39.456673,-108.051559,0.0,0.0,,,,
Private,CO,,,0.0,,,38.253895,-104.662277,0.0,0.0,,,,
Private,CO,,,0.0,,,39.697952,-105.207596,0.0,0.0,,,,
Private,CO,,,0.0,,,39.83094,-104.927498,0.0,0.0,,,,
Private,CO,,,0.0,,,39.136593,-103.475784,0.0,0.0,,,,
Private,CO,,,0.0,,,39.362521,-104.865165,0.0,0.0,,,,
Private,CO,,,0.0,,,40.52408,-104.710818,0.0,0.0,,,,
Private,CO,,,0.0,,,40.413551,-104.680794,0.0,0.0,,,,
Private,CO,,,0.0,,,37.987732,-103.536133,0.0,0.0,,,,
Private,CO,,,0.0,,,40.352032,-104.700241,0.0,0.0,,,,
Private,CO,,,0.0,,,37.226353,-107.858757,0.0,0.0,,,,
Private,CO,,,0.0,,,40.369948,-104.697152,0.0,0.0,,,,
Private,CO,,,0.0,,,38.993696,-105.058978,0.0,0.0,,,,
Private,CO,,,0.0,,,37.985785,-103.556036,0.0,0.0,,,,
Private,CO,,,0.0,,,38.422508,-105.031609,0.0,0.0,,,,
Private,CO,,,0.0,,,39.808556,-104.988602,0.0,0.0,,,,
Private,CO,,,0.0,,,39.528558,-107.815065,0.0,0.0,,,,
Private,CT,,,0.0,,,41.737122,-72.659943,0.0,0.0,,,,
Private,CT,,,0.0,,,41.350338,-72.868446,0.0,0.0,,,,
Private,CT,,,0.0,,,41.296539,-72.764542,0.0,0.0,,,,
Private,CT,,,0.0,,,41.440208,-71.802361,0.0,0.0,,,,
Private,CT,,,0.0,,,41.665039,-71.912621,0.0,0.0,,,,
Private,CT,,,0.0,,,41.73716,-72.659637,0.0,0.0,,,,
Private,CT,,,0.0,,,41.415811,-73.408322,0.0,0.0,,,,
Private,DE,,,0.0,,,38.801613,-75.586502,0.0,0.0,,,,
Private,DE,,,0.0,,,39.459942,-75.658722,0.0,0.0,,,,
Private,DE,,,0.0,,,38.456619,-75.232498,0.0,0.0,,,,
Private,DE,,,0.0,,,39.422909,-75.762711,0.0,0.0,,,,
Private,DE,,,0.0,,,38.724213,-75.589188,0.0,0.0,,,,
Private,DE,,,0.0,,,38.599621,-75.318985,0.0,0.0,,,,
Private,DE,,,0.0,,,39.619518,-75.64167,0.0,0.0,,,,
Private,FL,,,0.0,,,28.234138,-81.650124,0.0,0.0,,,,
Private,FL,,,0.0,,,26.227102,-80.182228,0.0,0.0,,,,
Private,FL,,,0.0,,,29.996828,-82.597511,0.0,0.0,,,,
Private,FL,,,0.0,,,30.204065,-82.635216,0.0,0.0,,,,
Private,FL,,,0.0,,,26.635519,-80.174866,0.0,0.0,,,,
Private,FL,,,0.0,,,25.877964,-80.356103,0.0,0.0,,,,
Private,FL,,,0.0,,,30.037482,-81.898028,0.0,0.0,,,,
Private,FL,,,0.0,,,28.421905,-81.371962,0.0,0.0,,,,
Private,FL,,,0.0,,,28.08782,-82.453583,0.0,0.0,,,,
Private,FL,,,0.0,,,29.946308,-82.425461,0.0,0.0,,,,
Private,FL,,,0.0,,,28.256329,-81.485468,0.0,0.0,,,,
Private,FL,,,0.0,,,27.429557,-81.417038,0.0,0.0,,,,
Private,FL,,,0.0,,,27.208553,-81.32946,0.0,0.0,,,,
Private,FL,,,0.0,,,30.709291,-85.933891,0.0,0.0,,,,
Private,FL,,,0.0,,,27.915688,-81.718353,0.0,0.0,,,,
Private,FL,,,0.0,,,28.665569,-80.872665,0.0,0.0,,,,
Private,FL,,,0.0,,,29.713919,-81.507533,0.0,0.0,,,,
Private,FL,,,0.0,,,27.639071,-80.513863,0.0,0.0,,,,
Private,FL,,,0.0,,,27.998192,-80.6325,0.0,0.0,,,,
Private,FL,,,0.0,,,27.966296,-82.413549,0.0,0.0,,,,
Private,FL,,,0.0,,,30.262131,-82.123001,0.0,0.0,,,,
Private,FL,,,0.0,,,27.872463,-82.700958,0.0,0.0,,,,
Private,FL,,,0.0,,,29.761274,-82.002197,0.0,0.0,,,,
Private,FL,,,0.0,,,28.574232,-81.88166,0.0,0.0,,,,
Private,FL,,,0.0,,,27.208248,-81.32972,0.0,0.0,,,,
Private,FL,,,0.0,,,30.068876,-83.55809,0.0,0.0,,,,
Private,FL,,,0.0,,,30.232844,-84.229414,0.0,0.0,,,,
Private,FL,,,0.0,,,29.95561,-82.925781,0.0,0.0,,,,
Private,FL,,,0.0,,,30.319153,-81.730881,0.0,0.0,,,,
Private,FL,,,0.0,,,29.655398,-81.65654,0.0,0.0,,,,
Private,FL,,,0.0,,,27.956442,-82.481918,0.0,0.0,,,,
Private,FL,,,0.0,,,30.758411,-85.379654,0.0,0.0,,,,
Private,FL,,,0.0,,,26.412781,-81.402824,0.0,0.0,,,,
Private,FL,,,0.0,,,28.034423,-81.906044,0.0,0.0,,,,
Private,FL,,,0.0,,,27.895221,-81.980779,0.0,0.0,,,,
Private,FL,,,0.0,,,28.282833,-81.351189,0.0,0.0,,,,
Private,FL,,,0.0,,,28.04754,-81.907687,0.0,0.0,,,,
Private,FL,,,0.0,,,28.033089,-82.056084,0.0,0.0,,,,
Private,FL,,,0.0,,,30.431778,-85.687092,0.0,0.0,,,,
Private,FL,,,0.0,,,27.886012,-82.700968,0.0,0.0,,,,
Private,FL,,,0.0,,,27.886885,-82.700937,0.0,0.0,,,,
Private,FL,,,0.0,,,28.253714,-81.657944,0.0,0.0,,,,
Private,FL,,,0.0,,,28.590185,-81.753365,0.0,0.0,,,,
Private,FL,,,0.0,,,28.827593,-81.32309,0.0,0.0,,,,
Private,FL,,,0.0,,,28.851877,-81.552078,0.0,0.0,,,,
Private,FL,,,0.0,,,28.54645,-81.650703,0.0,0.0,,,,
Private,FL,,,0.0,,,25.897189,-80.378876,0.0,0.0,,,,
Private,FL,,,0.0,,,26.028855,-80.431888,0.0,0.0,,,,
Private,FL,,,0.0,,,29.666027,-82.323692,0.0,0.0,,,,
Private,FL,,,0.0,,,28.80246,-81.886673,0.0,0.0,,,,
Private,FL,,,0.0,,,29.953217,-82.860069,0.0,0.0,,,,
Private,FL,,,0.0,,,28.208656,-82.185081,0.0,0.0,,,,
Private,FL,,,0.0,,,27.951263,-82.400963,0.0,0.0,,,,
Private,FL,,,0.0,,,28.321091,-82.502136,0.0,0.0,,,,
Private,FL,,,0.0,,,28.522301,-82.303642,0.0,0.0,,,,
Private,FL,,,0.0,,,27.271034,-80.869926,0.0,0.0,,,,
Private,FL,,,0.0,,,28.150936,-81.974564,0.0,0.0,,,,
Private,FL,,,0.0,,,27.980946,-82.358843,0.0,0.0,,,,
Private,FL,,,0.0,,,27.327389,-82.449234,0.0,0.0,,,,
Private,FL,,,0.0,,,26.529071,-80.20635,0.0,0.0,,,,
Private,FL,,,0.0,,,28.558997,-81.852395,0.0,0.0,,,,
Private,GA,,,0.0,,,32.657066,-83.748123,0.0,0.0,,,,
Private,GA,,,0.0,,,31.539162,-83.867363,0.0,0.0,,,,
Private,GA,,,0.0,,,31.538387,-82.850761,0.0,0.0,,,,
Private,GA,,,0.0,,,31.713801,-83.235631,0.0,0.0,,,,
Private,GA,,,0.0,,,33.161079,-84.873909,0.0,0.0,,,,
Private,GA,,,0.0,,,33.412888,-84.158691,0.0,0.0,,,,
Private,GA,,,0.0,,,33.726391,-84.940811,0.0,0.0,,,,
Private,GA,,,0.0,,,34.97842,-85.418938,0.0,0.0,,,,
Private,GA,,,0.0,,,33.699154,-84.118172,0.0,0.0,,,,
Private,GA,,,0.0,,,32.4697,-83.742119,0.0,0.0,,,,
Private,GA,,,0.0,,,33.577351,-84.282776,0.0,0.0,,,,
Private,GA,,,0.0,,,34.913788,-85.124107,0.0,0.0,,,,
Private,GA,,,0.0,,,31.548748,-84.176453,0.0,0.0,,,,
Private,GA,,,0.0,,,33.770351,-84.520622,0.0,0.0,,,,
Private,GA,,,0.0,,,31.224014,-84.197273,0.0,0.0,,,,
Private,GA,,,0.0,,,32.453542,-84.989639,0.0,0.0,,,,
Private,GA,,,0.0,,,34.113402,-82.866547,0.0,0.0,,,,
Private,GA,,,0.0,,,34.285488,-83.825577,0.0,0.0,,,,
Private,GA,,,0.0,,,32.990997,-85.029335,0.0,0.0,,,,
Private,GA,,,0.0,,,33.702129,-84.089104,0.0,0.0,,,,
Private,GA,,,0.0,,,33.217754,-82.377899,0.0,0.0,,,,
Private,GA,,,0.0,,,32.004982,-81.280693,0.0,0.0,,,,
Private,GA,,,0.0,,,33.617626,-83.842819,0.0,0.0,,,,
Private,GA,,,0.0,,,34.799011,-84.961761,0.0,0.0,,,,
Private,GA,,,0.0,,,33.613002,-84.402117,0.0,0.0,,,,
Private,GA,,,0.0,,,32.193779,-81.195473,0.0,0.0,,,,
Private,GA,,,0.0,,,33.398357,-82.004311,0.0,0.0,,,,
Private,GA,,,0.0,,,31.13319,-84.141037,0.0,0.0,,,,
Private,GA,,,0.0,,,32.084869,-84.240501,0.0,0.0,,,,
Private,GA,,,0.0,,,30.879377,-84.195618,0.0,0.0,,,,
Private,GA,,,0.0,,,30.886639,-84.206741,0.0,0.0,,,,
Private,GA,,,0.0,,,31.864775,-82.589172,0.0,0.0,,,,
Private,GA,,,0.0,,,30.834883,-83.947578,0.0,0.0,,,,
Private,GA,,,0.0,,,30.903605,-83.975427,0.0,0.0,,,,
Private,GA,,,0.0,,,32.81382,-85.024239,0.0,0.0,,,,
Private,GA,,,0.0,,,31.484289,-82.850586,0.0,0.0,,,,
Private,GA,,,0.0,,,34.488124,-83.582668,0.0,0.0,,,,
Private,GA,,,0.0,,,30.888475,-84.565163,0.0,0.0,,,,
Private,GA,,,0.0,,,34.783039,-84.823097,0.0,0.0,,,,
Private,GA,,,0.0,,,31.898205,-82.582222,0.0,0.0,,,,
Private,GA,,,0.0,,,30.729729,-84.120514,0.0,0.0,,,,
Private,GA,,,0.0,,,32.45451,-84.945496,0.0,0.0,,,,
Private,GA,,,0.0,,,32.779953,-83.655842,0.0,0.0,,,,
Private,GA,,,0.0,,,33.770771,-84.652031,0.0,0.0,,,,
Private,GA,,,0.0,,,33.010571,-82.399129,0.0,0.0,,,,
Private,GA,,,0.0,,,33.485382,-82.135017,0.0,0.0,,,,
Private,GA,,,0.0,,,34.223038,-85.149307,0.0,0.0,,,,
Private,GA,,,0.0,,,34.02729,-84.044594,0.0,0.0,,,,
Private,GA,,,0.0,,,34.173389,-84.764626,0.0,0.0,,,,
Private,GA,,,0.0,,,32.065182,-84.252968,0.0,0.0,,,,
Private,GA,,,0.0,,,34.64767,-83.44987,0.0,0.0,,,,
Private,GA,,,0.0,,,32.401497,-83.336266,0.0,0.0,,,,
Private,GA,,,0.0,,,32.812302,-83.723801,0.0,0.0,,,,
Private,GA,,,0.0,,,33.940708,-83.485893,0.0,0.0,,,,
Private,GA,,,0.0,,,33.205379,-84.062302,0.0,0.0,,,,
Private,GA,,,0.0,,,34.435123,-83.63089,0.0,0.0,,,,
Private,GA,,,0.0,,,33.671719,-84.339767,0.0,0.0,,,,
Private,GA,,,0.0,,,32.208858,-83.189499,0.0,0.0,,,,
Private,GA,,,0.0,,,32.416604,-81.798809,0.0,0.0,,,,
Private,GA,,,0.0,,,33.987312,-83.718445,0.0,0.0,,,,
Private,GA,,,0.0,,,33.991745,-83.774522,0.0,0.0,,,,
Private,GA,,,0.0,,,33.528625,-84.662352,0.0,0.0,,,,
Private,GA,,,0.0,,,34.465691,-85.268311,0.0,0.0,,,,
Private,GA,,,0.0,,,33.370945,-84.570053,0.0,0.0,,,,
Private,GA,,,0.0,,,33.333534,-83.964096,0.0,0.0,,,,
Private,GA,,,0.0,,,32.30098,-84.781031,0.0,0.0,,,,
Private,GA,,,0.0,,,32.924744,-84.332619,0.0,0.0,,,,
Private,GA,,,0.0,,,34.011341,-85.028511,0.0,0.0,,,,
Private,GA,,,0.0,,,34.75882,-84.768967,0.0,0.0,,,,
Private,GA,,,0.0,,,33.824711,-83.440643,0.0,0.0,,,,
Private,GA,,,0.0,,,34.892323,-84.260277,0.0,0.0,,,,
Private,GA,,,0.0,,,30.835699,-83.940735,0.0,0.0,,,,
Private,GA,,,0.0,,,32.317146,-84.517937,0.0,0.0,,,,
Private,GA,,,0.0,,,33.984636,-83.925426,0.0,0.0,,,,
Private,IA,,,0.0,,,41.495899,-94.6436,0.0,0.0,,,,
Private,IA,,,0.0,,,42.409346,-92.264188,0.0,0.0,,,,
Private,IA,,,0.0,,,42.180149,-94.878242,0.0,0.0,,,,
Private,IA,,,0.0,,,41.932495,-91.675759,0.0,0.0,,,,
Private,IA,,,0.0,,,40.732235,-92.872932,0.0,0.0,,,,
Private,IA,,,0.0,,,41.681618,-91.566589,0.0,0.0,,,,
Private,IA,,,0.0,,,42.671131,-92.336845,0.0,0.0,,,,
Private,IA,,,0.0,,,43.401737,-94.842239,0.0,0.0,,,,
Private,IA,,,0.0,,,41.49918,-95.899162,0.0,0.0,,,,
Private,IA,,,0.0,,,42.570467,-92.786347,0.0,0.0,,,,
Private,IA,,,0.0,,,41.986187,-92.581123,0.0,0.0,,,,
Private,IA,,,0.0,,,40.62709,-91.33783,0.0,0.0,,,,
Private,IA,,,0.0,,,42.52756,-90.683288,0.0,0.0,,,,
Private,IA,,,0.0,,,43.078419,-96.175735,0.0,0.0,,,,
Private,IA,,,0.0,,,42.267704,-93.927414,0.0,0.0,,,,
Private,IA,,,0.0,,,41.82922,-90.841057,0.0,0.0,,,,
Private,IA,,,0.0,,,41.998947,-92.67247,0.0,0.0,,,,
Private,IA,,,0.0,,,41.370407,-91.129112,0.0,0.0,,,,
Private,IA,,,0.0,,,43.076099,-92.318542,0.0,0.0,,,,
Private,IA,,,0.0,,,41.279179,-92.622643,0.0,0.0,,,,
Private,IA,,,0.0,,,41.016956,-95.233383,0.0,0.0,,,,
Private,IA,,,0.0,,,42.332771,-95.343231,0.0,0.0,,,,
Private,IA,,,0.0,,,41.024632,-93.798279,0.0,0.0,,,,
Private,IA,,,0.0,,,42.103668,-91.26342,0.0,0.0,,,,
Private,IA,,,0.0,,,42.026375,-96.126442,0.0,0.0,,,,
Private,IA,,,0.0,,,42.67778,-91.91205,0.0,0.0,,,,
Private,IA,,,0.0,,,43.397953,-95.752205,0.0,0.0,,,,
Private,IA,,,0.0,,,43.267857,-91.475807,0.0,0.0,,,,
Private,IA,,,0.0,,,42.732735,-94.227341,0.0,0.0,,,,
Private,IA,,,0.0,,,42.489285,-96.389359,0.0,0.0,,,,
Private,IA,,,0.0,,,42.470412,-92.446609,0.0,0.0,,,,
Private,IA,,,0.0,,,41.654137,-90.56543,0.0,0.0,,,,
Private,IA,,,0.0,,,43.371403,-92.111732,0.0,0.0,,,,
Private,ID,,,0.0,,,48.308167,-116.547142,0.0,0.0,,,,
Private,ID,,,0.0,,,47.569569,-116.441681,0.0,0.0,,,,
Private,ID,,,0.0,,,48.683037,-116.321899,0.0,0.0,,,,
Private,ID,,,0.0,,,47.540428,-116.231728,0.0,0.0,,,,
Private,ID,,,0.0,,,46.500469,-116.329178,0.0,0.0,,,,
Private,ID,,,0.0,,,42.547911,-114.445634,0.0,0.0,,,,
Private,ID,,,0.0,,,43.140781,-115.702599,0.0,0.0,,,,
